ATL
Thu, Oct 27, 2016,Washington Wizards,W,,114,99,1,0,W 1,ATL
Sat, Oct 29, 2016,Philadelphia 76ers,W,,104,72,2,0,W 2,ATL
Mon, Oct 31, 2016,Sacramento Kings,W,,106,95,3,0,W 3,ATL
Wed, Nov 2, 2016,Los Angeles Lakers,L,,116,123,3,1,L 1,ATL
Fri, Nov 4, 2016,Washington Wizards,L,,92,95,3,2,L 2,ATL
Sat, Nov 5, 2016,Houston Rockets,W,,112,97,4,2,W 1,ATL
Tue, Nov 8, 2016,Cleveland Cavaliers,W,,110,106,5,2,W 2,ATL
Wed, Nov 9, 2016,Chicago Bulls,W,,115,107,6,2,W 3,ATL
Sat, Nov 12, 2016,Philadelphia 76ers,W,,117,96,7,2,W 4,ATL
Tue, Nov 15, 2016,Miami Heat,W,,93,90,8,2,W 5,ATL
Wed, Nov 16, 2016,Milwaukee Bucks,W,,107,100,9,2,W 6,ATL
Fri, Nov 18, 2016,Charlotte Hornets,L,,96,100,9,3,L 1,ATL
Sun, Nov 20, 2016,New York Knicks,L,,94,104,9,4,L 2,ATL
Tue, Nov 22, 2016,New Orleans Pelicans,L,,94,112,9,5,L 3,ATL
Wed, Nov 23, 2016,Indiana Pacers,W,,96,85,10,5,W 1,ATL
Fri, Nov 25, 2016,Utah Jazz,L,,68,95,10,6,L 1,ATL
Sun, Nov 27, 2016,Los Angeles Lakers,L,,94,109,10,7,L 2,ATL
Mon, Nov 28, 2016,Golden State Warriors,L,,100,105,10,8,L 3,ATL
Wed, Nov 30, 2016,Phoenix Suns,L,,107,109,10,9,L 4,ATL
Fri, Dec 2, 2016,Detroit Pistons,L,,85,121,10,10,L 5,ATL
ATL
Sat, Dec 3, 2016,Toronto Raptors,L,,84,128,10,11,L 6,ATL
Mon, Dec 5, 2016,Oklahoma City Thunder,L,,99,102,10,12,L 7,ATL
Wed, Dec 7, 2016,Miami Heat,W,,103,95,11,12,W 1,ATL
Fri, Dec 9, 2016,Milwaukee Bucks,W,,114,110,12,12,W 2,ATL
Tue, Dec 13, 2016,Orlando Magic,L,,120,131,12,13,L 1,ATL
Fri, Dec 16, 2016,Toronto Raptors,W,,125,121,13,13,W 1,ATL
Sat, Dec 17, 2016,Charlotte Hornets,L,,99,107,13,14,L 1,ATL
Mon, Dec 19, 2016,Oklahoma City Thunder,W,,110,108,14,14,W 1,ATL
Wed, Dec 21, 2016,Minnesota Timberwolves,L,,84,92,14,15,L 1,ATL
Fri, Dec 23, 2016,Denver Nuggets,W,,109,108,15,15,W 1,ATL
Mon, Dec 26, 2016,Minnesota Timberwolves,L,,90,104,15,16,L 1,ATL
Wed, Dec 28, 2016,New York Knicks,W,OT,102,98,16,16,W 1,ATL
Fri, Dec 30, 2016,Detroit Pistons,W,,105,98,17,16,W 2,ATL
Sun, Jan 1, 2017,San Antonio Spurs,W,OT,114,112,18,16,W 3,ATL
Wed, Jan 4, 2017,Orlando Magic,W,,111,92,19,16,W 4,ATL
Thu, Jan 5, 2017,New Orleans Pelicans,W,,99,94,20,16,W 5,ATL
Sat, Jan 7, 2017,Dallas Mavericks,W,,97,82,21,16,W 6,ATL
Tue, Jan 10, 2017,Brooklyn Nets,W,,117,97,22,16,W 7,ATL
Fri, Jan 13, 2017,Boston Celtics,L,,101,103,22,17,L 1,ATL
Sun, Jan 15, 2017,Milwaukee Bucks,W,,111,98,23,17,W 1,ATL
ATL
Mon, Jan 16, 2017,New York Knicks,W,,108,107,24,17,W 2,ATL
Wed, Jan 18, 2017,Detroit Pistons,L,,95,118,24,18,L 1,ATL
Fri, Jan 20, 2017,Chicago Bulls,W,,102,93,25,18,W 1,ATL
Sat, Jan 21, 2017,Philadelphia 76ers,W,,110,93,26,18,W 2,ATL
Mon, Jan 23, 2017,Los Angeles Clippers,L,,105,115,26,19,L 1,ATL
Wed, Jan 25, 2017,Chicago Bulls,W,,119,114,27,19,W 1,ATL
Fri, Jan 27, 2017,Washington Wizards,L,,86,112,27,20,L 1,ATL
Sun, Jan 29, 2017,New York Knicks,W,4OT,142,139,28,20,W 1,ATL
Wed, Feb 1, 2017,Miami Heat,L,,93,116,28,21,L 1,ATL
Thu, Feb 2, 2017,Houston Rockets,W,,113,108,29,21,W 1,ATL
Sat, Feb 4, 2017,Orlando Magic,W,,113,86,30,21,W 2,ATL
Mon, Feb 6, 2017,Utah Jazz,L,,95,120,30,22,L 1,ATL
Wed, Feb 8, 2017,Denver Nuggets,W,,117,106,31,22,W 1,ATL
Fri, Feb 10, 2017,Sacramento Kings,L,,107,108,31,23,L 1,ATL
Mon, Feb 13, 2017,Portland Trail Blazers,W,OT,109,104,32,23,W 1,ATL
Wed, Feb 15, 2017,Los Angeles Clippers,L,,84,99,32,24,L 1,ATL
Fri, Feb 24, 2017,Miami Heat,L,,90,108,32,25,L 2,ATL
Sat, Feb 25, 2017,Orlando Magic,L,,86,105,32,26,L 3,ATL
Mon, Feb 27, 2017,Boston Celtics,W,,114,98,33,26,W 1,ATL
Wed, Mar 1, 2017,Dallas Mavericks,W,,100,95,34,26,W 2,ATL
ATL
Fri, Mar 3, 2017,Cleveland Cavaliers,L,,130,135,34,27,L 1,ATL
Sun, Mar 5, 2017,Indiana Pacers,L,,96,97,34,28,L 2,ATL
Mon, Mar 6, 2017,Golden State Warriors,L,,111,119,34,29,L 3,ATL
Wed, Mar 8, 2017,Brooklyn Nets,W,,110,105,35,29,W 1,ATL
Fri, Mar 10, 2017,Toronto Raptors,W,,105,99,36,29,W 2,ATL
Sat, Mar 11, 2017,Memphis Grizzlies,W,,107,90,37,29,W 3,ATL
Mon, Mar 13, 2017,San Antonio Spurs,L,,99,107,37,30,L 1,ATL
Thu, Mar 16, 2017,Memphis Grizzlies,L,,91,103,37,31,L 2,ATL
Sat, Mar 18, 2017,Portland Trail Blazers,L,,97,113,37,32,L 3,ATL
Mon, Mar 20, 2017,Charlotte Hornets,L,,90,105,37,33,L 4,ATL
Wed, Mar 22, 2017,Washington Wizards,L,,100,104,37,34,L 5,ATL
Fri, Mar 24, 2017,Milwaukee Bucks,L,,97,100,37,35,L 6,ATL
Sun, Mar 26, 2017,Brooklyn Nets,L,,92,107,37,36,L 7,ATL
Tue, Mar 28, 2017,Phoenix Suns,W,,95,91,38,36,W 1,ATL
Wed, Mar 29, 2017,Philadelphia 76ers,W,,99,92,39,36,W 2,ATL
Sat, Apr 1, 2017,Chicago Bulls,L,,104,106,39,37,L 1,ATL
Sun, Apr 2, 2017,Brooklyn Nets,L,,82,91,39,38,L 2,ATL
Thu, Apr 6, 2017,Boston Celtics,W,,123,116,40,38,W 1,ATL
Fri, Apr 7, 2017,Cleveland Cavaliers,W,,114,100,41,38,W 2,ATL
Sun, Apr 9, 2017,Cleveland Cavaliers,W,OT,126,125,42,38,W 3,ATL
ATL
Tue, Apr 11, 2017,Charlotte Hornets,W,,103,76,43,38,W 4,ATL
Wed, Apr 12, 2017,Indiana Pacers,L,,86,104,43,39,L 1,ATL
ATL
Sun, Apr 16, 2017,Washington Wizards,L,,107,114,0,1,L 1,ATL
Wed, Apr 19, 2017,Washington Wizards,L,,101,109,0,2,L 2,ATL
Sat, Apr 22, 2017,Washington Wizards,W,,116,98,1,2,W 1,ATL
Mon, Apr 24, 2017,Washington Wizards,W,,111,101,2,2,W 2,ATL
Wed, Apr 26, 2017,Washington Wizards,L,,99,103,2,3,L 1,ATL
Fri, Apr 28, 2017,Washington Wizards,L,,99,115,2,4,L 2,ATL
BOS
Wed, Oct 26, 2016,Brooklyn Nets,W,,122,117,1,0,W 1,BOS
Thu, Oct 27, 2016,Chicago Bulls,L,,99,105,1,1,L 1,BOS
Sat, Oct 29, 2016,Charlotte Hornets,W,,104,98,2,1,W 1,BOS
Wed, Nov 2, 2016,Chicago Bulls,W,,107,100,3,1,W 2,BOS
Thu, Nov 3, 2016,Cleveland Cavaliers,L,,122,128,3,2,L 1,BOS
Sun, Nov 6, 2016,Denver Nuggets,L,,107,123,3,3,L 2,BOS
Wed, Nov 9, 2016,Washington Wizards,L,,93,118,3,4,L 3,BOS
Fri, Nov 11, 2016,New York Knicks,W,,115,87,4,4,W 1,BOS
Sat, Nov 12, 2016,Indiana Pacers,W,,105,99,5,4,W 2,BOS
Mon, Nov 14, 2016,New Orleans Pelicans,L,,105,106,5,5,L 1,BOS
Wed, Nov 16, 2016,Dallas Mavericks,W,,90,83,6,5,W 1,BOS
Fri, Nov 18, 2016,Golden State Warriors,L,,88,104,6,6,L 1,BOS
Sat, Nov 19, 2016,Detroit Pistons,W,,94,92,7,6,W 1,BOS
Mon, Nov 21, 2016,Minnesota Timberwolves,W,,99,93,8,6,W 2,BOS
Wed, Nov 23, 2016,Brooklyn Nets,W,,111,92,9,6,W 3,BOS
Fri, Nov 25, 2016,San Antonio Spurs,L,,103,109,9,7,L 1,BOS
Mon, Nov 28, 2016,Miami Heat,W,,112,104,10,7,W 1,BOS
Wed, Nov 30, 2016,Detroit Pistons,L,,114,121,10,8,L 1,BOS
Fri, Dec 2, 2016,Sacramento Kings,W,,97,92,11,8,W 1,BOS
Sat, Dec 3, 2016,Philadelphia 76ers,W,,107,106,12,8,W 2,BOS
BOS
Mon, Dec 5, 2016,Houston Rockets,L,,106,107,12,9,L 1,BOS
Wed, Dec 7, 2016,Orlando Magic,W,,117,87,13,9,W 1,BOS
Fri, Dec 9, 2016,Toronto Raptors,L,,94,101,13,10,L 1,BOS
Sun, Dec 11, 2016,Oklahoma City Thunder,L,,96,99,13,11,L 2,BOS
Wed, Dec 14, 2016,San Antonio Spurs,L,,101,108,13,12,L 3,BOS
Fri, Dec 16, 2016,Charlotte Hornets,W,,96,88,14,12,W 1,BOS
Sun, Dec 18, 2016,Miami Heat,W,,105,95,15,12,W 2,BOS
Tue, Dec 20, 2016,Memphis Grizzlies,W,OT,112,109,16,12,W 3,BOS
Thu, Dec 22, 2016,Indiana Pacers,W,,109,102,17,12,W 4,BOS
Fri, Dec 23, 2016,Oklahoma City Thunder,L,,112,117,17,13,L 1,BOS
Sun, Dec 25, 2016,New York Knicks,W,,119,114,18,13,W 1,BOS
Tue, Dec 27, 2016,Memphis Grizzlies,W,,113,103,19,13,W 2,BOS
Thu, Dec 29, 2016,Cleveland Cavaliers,L,,118,124,19,14,L 1,BOS
Fri, Dec 30, 2016,Miami Heat,W,,117,114,20,14,W 1,BOS
Tue, Jan 3, 2017,Utah Jazz,W,,115,104,21,14,W 2,BOS
Fri, Jan 6, 2017,Philadelphia 76ers,W,,110,106,22,14,W 3,BOS
Sat, Jan 7, 2017,New Orleans Pelicans,W,,117,108,23,14,W 4,BOS
Tue, Jan 10, 2017,Toronto Raptors,L,,106,114,23,15,L 1,BOS
Wed, Jan 11, 2017,Washington Wizards,W,,117,108,24,15,W 1,BOS
Fri, Jan 13, 2017,Atlanta Hawks,W,,103,101,25,15,W 2,BOS
BOS
Mon, Jan 16, 2017,Charlotte Hornets,W,,108,98,26,15,W 3,BOS
Wed, Jan 18, 2017,New York Knicks,L,,106,117,26,16,L 1,BOS
Sat, Jan 21, 2017,Portland Trail Blazers,L,OT,123,127,26,17,L 2,BOS
Tue, Jan 24, 2017,Washington Wizards,L,,108,123,26,18,L 3,BOS
Wed, Jan 25, 2017,Houston Rockets,W,,120,109,27,18,W 1,BOS
Fri, Jan 27, 2017,Orlando Magic,W,,128,98,28,18,W 2,BOS
Sat, Jan 28, 2017,Milwaukee Bucks,W,OT,112,108,29,18,W 3,BOS
Mon, Jan 30, 2017,Detroit Pistons,W,,113,109,30,18,W 4,BOS
Wed, Feb 1, 2017,Toronto Raptors,W,,109,104,31,18,W 5,BOS
Fri, Feb 3, 2017,Los Angeles Lakers,W,,113,107,32,18,W 6,BOS
Sun, Feb 5, 2017,Los Angeles Clippers,W,,107,102,33,18,W 7,BOS
Wed, Feb 8, 2017,Sacramento Kings,L,,92,108,33,19,L 1,BOS
Thu, Feb 9, 2017,Portland Trail Blazers,W,,120,111,34,19,W 1,BOS
Sat, Feb 11, 2017,Utah Jazz,W,,112,104,35,19,W 2,BOS
Mon, Feb 13, 2017,Dallas Mavericks,W,,111,98,36,19,W 3,BOS
Wed, Feb 15, 2017,Philadelphia 76ers,W,,116,108,37,19,W 4,BOS
Thu, Feb 16, 2017,Chicago Bulls,L,,103,104,37,20,L 1,BOS
Fri, Feb 24, 2017,Toronto Raptors,L,,97,107,37,21,L 2,BOS
Sun, Feb 26, 2017,Detroit Pistons,W,,104,98,38,21,W 1,BOS
Mon, Feb 27, 2017,Atlanta Hawks,L,,98,114,38,22,L 1,BOS
BOS
Wed, Mar 1, 2017,Cleveland Cavaliers,W,,103,99,39,22,W 1,BOS
Fri, Mar 3, 2017,Los Angeles Lakers,W,,115,95,40,22,W 2,BOS
Sun, Mar 5, 2017,Phoenix Suns,L,,106,109,40,23,L 1,BOS
Mon, Mar 6, 2017,Los Angeles Clippers,L,,102,116,40,24,L 2,BOS
Wed, Mar 8, 2017,Golden State Warriors,W,,99,86,41,24,W 1,BOS
Fri, Mar 10, 2017,Denver Nuggets,L,,99,119,41,25,L 1,BOS
Sun, Mar 12, 2017,Chicago Bulls,W,,100,80,42,25,W 1,BOS
Wed, Mar 15, 2017,Minnesota Timberwolves,W,,117,104,43,25,W 2,BOS
Fri, Mar 17, 2017,Brooklyn Nets,W,,98,95,44,25,W 3,BOS
Sun, Mar 19, 2017,Philadelphia 76ers,L,,99,105,44,26,L 1,BOS
Mon, Mar 20, 2017,Washington Wizards,W,,110,102,45,26,W 1,BOS
Wed, Mar 22, 2017,Indiana Pacers,W,,109,100,46,26,W 2,BOS
Fri, Mar 24, 2017,Phoenix Suns,W,,130,120,47,26,W 3,BOS
Sun, Mar 26, 2017,Miami Heat,W,,112,108,48,26,W 4,BOS
Wed, Mar 29, 2017,Milwaukee Bucks,L,,100,103,48,27,L 1,BOS
Fri, Mar 31, 2017,Orlando Magic,W,,117,116,49,27,W 1,BOS
Sun, Apr 2, 2017,New York Knicks,W,,110,94,50,27,W 2,BOS
Wed, Apr 5, 2017,Cleveland Cavaliers,L,,91,114,50,28,L 1,BOS
Thu, Apr 6, 2017,Atlanta Hawks,L,,116,123,50,29,L 2,BOS
Sat, Apr 8, 2017,Charlotte Hornets,W,,121,114,51,29,W 1,BOS
BOS
Mon, Apr 10, 2017,Brooklyn Nets,W,,114,105,52,29,W 2,BOS
Wed, Apr 12, 2017,Milwaukee Bucks,W,,112,94,53,29,W 3,BOS
BOS
Sun, Apr 16, 2017,Chicago Bulls,L,,102,106,0,1,L 1,BOS
Tue, Apr 18, 2017,Chicago Bulls,L,,97,111,0,2,L 2,BOS
Fri, Apr 21, 2017,Chicago Bulls,W,,104,87,1,2,W 1,BOS
Sun, Apr 23, 2017,Chicago Bulls,W,,104,95,2,2,W 2,BOS
Wed, Apr 26, 2017,Chicago Bulls,W,,108,97,3,2,W 3,BOS
Fri, Apr 28, 2017,Chicago Bulls,W,,105,83,4,2,W 4,BOS
BOS
Sun, Apr 30, 2017,Washington Wizards,W,,123,111,5,2,W 5,BOS
Tue, May 2, 2017,Washington Wizards,W,OT,129,119,6,2,W 6,BOS
Thu, May 4, 2017,Washington Wizards,L,,89,116,6,3,L 1,BOS
Sun, May 7, 2017,Washington Wizards,L,,102,121,6,4,L 2,BOS
Wed, May 10, 2017,Washington Wizards,W,,123,101,7,4,W 1,BOS
Fri, May 12, 2017,Washington Wizards,L,,91,92,7,5,L 1,BOS
Mon, May 15, 2017,Washington Wizards,W,,115,105,8,5,W 1,BOS
BOS
Wed, May 17, 2017,Cleveland Cavaliers,L,,104,117,8,6,L 1,BOS
Fri, May 19, 2017,Cleveland Cavaliers,L,,86,130,8,7,L 2,BOS
Sun, May 21, 2017,Cleveland Cavaliers,W,,111,108,9,7,W 1,BOS
Tue, May 23, 2017,Cleveland Cavaliers,L,,99,112,9,8,L 1,BOS
Thu, May 25, 2017,Cleveland Cavaliers,L,,102,135,9,9,L 2,BOS
BRK
Wed, Oct 26, 2016,Boston Celtics,L,,117,122,0,1,L 1,BRK
Fri, Oct 28, 2016,Indiana Pacers,W,,103,94,1,1,W 1,BRK
Sat, Oct 29, 2016,Milwaukee Bucks,L,,108,110,1,2,L 1,BRK
Mon, Oct 31, 2016,Chicago Bulls,L,,88,118,1,3,L 2,BRK
Wed, Nov 2, 2016,Detroit Pistons,W,,109,101,2,3,W 1,BRK
Fri, Nov 4, 2016,Charlotte Hornets,L,,95,99,2,4,L 1,BRK
Tue, Nov 8, 2016,Minnesota Timberwolves,W,,119,110,3,4,W 1,BRK
Wed, Nov 9, 2016,New York Knicks,L,,96,110,3,5,L 1,BRK
Sat, Nov 12, 2016,Phoenix Suns,W,,122,104,4,5,W 1,BRK
